"","inmate_id","unit","compensation_in_dollars"
"1","gq4316","cb",2
"2","ay6803","cb",2
"3","qa0608","cb",2
"4","af6974","cb",2
"5","dv1788","cb",2
"6","qd1016","da",2
"7","qk5410","da",2
"8","qg4521","da",2
"9","qn9677","da",2
"10","qm1847","da",2
"11","qn0191","da",2
"12","qp0576","da",2
"13","nn0024","da",2
"14","kb7882","da",2
"15","qn7876","da",2
"16","qn9552","da",2
"17","qp1534","da",2
"18","qm4767","da",2
"19","na3826","da",2
"20","qn9224","da",2
"21","qp0545","da",2
"22","qn7493","da",2
"23","qk8352","da",2
"24","qm1029","da",2
"25","bj8105","da",2
"26","mh3417","da",2
"27","nw2775","da",2
"28","qn7799","da",2
"29","qp0632","da",2
"30","qp1371","da",2
"31","qp0492","da",2
"32","nc0924","db",2
"33","qn8771","db",2
"34","qn7006","db",2
"35","nw9532","db",2
"36","qn9319","db",2
"37","qp1965","db",2
"38","qn6395","db",2
"39","qh0546","db",2
"40","qj9525","db",2
"41","qn8316","db",2
"42","qm2808","db",2
"43","qn9854","db",2
"44","gf1147","db",2
"45","qn8449","db",2
"46","qp0762","db",2
"47","qj9741","db",2
"48","qk7283","db",2
"49","qp0102","db",2
"50","nz7036","db",2
"51","qn7485","db",2
"52","qj3387","db",2
"53","nm8559","eb",2
"54","qf6120","eb",2
"55","qn7384","eb",2
"56","qj2553","eb",2
"57","qn7449","eb",2
"58","ld8356","eb",2
"59","qh7886","eb",2
"60","qk8200","eb",2
"61","ql4946","eb",2
"62","ql7888","eb",2
"63","kl2779","eb",2
