unit,id_num,no_not_the_same,which_not_the_same
aa,qh2814,0,0
aa,qg1311,0,0
aa,qh9949,0,0
ba,ql5985,0,0
bb,nj2163,1,44
bb,qn9932,1,55
bc,qn5679,0,0
bc,qn9242,0,0
bd,qn7792,0,0
CA,jq3455,0,0
CA,na0081,0,0
DA,qg4521,0,0
DA,qm1847,0,0
DA,hy5305,0,0
DA,np6547,0,0
DA,kw5313,0,0
DA,qn9336,1,168
db,nm6214,0,0
DB,qn8449,0,0
DB,qn9319,0,0
EA,md8818,0,0
EA,hz2198,1,89
EA,my5656,1,89
EA,jq2609,0,0
EA,kl2036,0,0
EA,lu1136,0,0
eb,qp0116,0,0
eb,mt5220,0,0
eb,qk1261,0,0
AD/NA,qe7070,0,0
AD/NA,qh9370,0,0
AD/NA,kh4993,0,0
NA,qm0080,0,0
rhu,qm5773,0,0
rhu,qn0005,0,0
